Tokaido Packing List,,,
,,,
On Body,,Grams,Lb.
,Pants,408,0.9
,Shirt,232,0.5
,Underwear,58,0.1
,Socks,60,0.1
,Belt,170,0.4
,Shoes,1000,2.2
,Chap Stick,10,0.0
,Cell Phone,264,0.6
,Headset,30,0.1
,Watch,96,0.2
,Sunglasses,38,0.1
,Hat,100,0.2
,Wallet,114,0.3
,Total,2580,5.7
,,,
In Backpack,,,
,Backpack,990,2.2
,Backpack rain cover,86,0.2
,Straps x4,36,0.1
,Sunscreen,112,0.2
,Total,1224,2.7
,,,
,Computer,1970,4.3
,Wire bag,54,0.1
,Computer Cable,72,0.2
,Cell phone cable,28,0.1
,Headset cable,14,0.0
,Watch cable,14,0.0
,CPAP cable,80,0.2
,Pen,12,0.0
,Earbuds,62,0.1
,Charger adapter,128,0.3
,Total,2434,5.4
,,,
,Toothpaste,106,0.2
,Toothbrush,124,0.3
,Toothbrush charger,124,0.3
,Toothbrush case,64,0.1
,Retainer,28,0.1
,Retainer brush,8,0.0
,Razor,84,0.2
,Vaseline,64,0.1
,Floss,34,0.1
,Deodorant x2,244,0.5
,Nail clipper,46,0.1
,Toiletry Bag x2,108,0.2
,Total,1034,2.3
,,,
,Tums,126,0.3
,Pepto Bismol,10,0.0
,Medicine,222,0.5
,Medicine bag,54,0.1
,Allergy pills,16,0.0
,Pill holder,42,0.1
,Blister kit,16,0.0
,CPAP,514,1.1
,CPAP brush,18,0.0
,Keys,44,0.1
,Total,1062,2.3
,,,
,Shirt,232,0.5
,Shorts,126,0.3
,Underwear,58,0.1
,Socks,60,0.1
,Jacket,380,0.8
,Eye mask,56,0.1
,Rain Jacket,314,0.7
,Face masks,28,0.1
,Mosquito head net,26,0.1
,Laundry bag,24,0.1
,Passport,34,0.1
,Passport case,48,0.1
,Shoe Inserts,78,0.2
,MMX Cap,78,0.2
,Water bottle,178,0.4
,Eyeglasses w/case,170,0.4
,Total,1890,4.2
,,,
,,grams,pounds
,Backpack total,7644,16.8
,Worn on body,2580,5.7
,Grand total,10224,22.5
