Closest Station,Train Line,Hotels Nearby?,Food Nearby?,Hotel Travel Direction,Total Km,Km Diff
,,,,,,
Marunouchi,JR,yes,yes,,0.0,
Tokaido 00,,,,,0.0,0.0
Shinbashi,JR,yes,yes,,2.3,2.3
Hamamatsucho,JR,yes,yes,,3.7,1.4
Tamachi,JR,yes,yes,,5.0,1.3
Takanawa,JR,no,yes,,6.5,1.5
Shinagawa,JR,yes,yes,,7.5,1.0
Shimbamba,Keikyu,yes,yes,,8.7,1.2
Tokaido 01,,,,,8.9,0.2
Aomono Yokocho,Keikyu,no,yes,,9.9,1.0
Samezu,Keikyu,no,yes,,10.2,0.3
Tachiagawa,Keikyu,no,yes,,11.0,0.8
Omorikaigan,Keikyu,yes,yes,,12.3,1.3
Heiwajima,Keikyu,yes,yes,,13.5,1.2
Omorimachi,Keikyu,yes,yes,,14.4,0.9
Umeyashiki,Keikyu,no,yes,,15.0,0.6
Kamata,Keikyu,yes,yes,,15.8,0.8
Zoshiki,Keikyu,no,yes,,17.3,1.5
Rokugodote,Keikyu,yes,yes,,18.6,1.3
Tokaido 02,,,,,18.7,0.1
Kawasaki,Keikyu,yes,yes,,20.0,1.3
Hatchonawate,Keikyu,no,yes,,21.2,1.2
Tsurumi Ichiba,Keikyu,no,yes,,22.0,0.8
Tsurumi,Keikyu,yes,yes,,23.7,1.7
Kokudo,JR,no,yes,,24.5,0.8
Namamugi,Keikyu,no,yes,,25.6,1.1
Shin-Koyasu,Keikyu,yes,yes,,27.2,1.6
Koyasu,Keikyu,no,yes,,28.1,0.9
Kanagawa Shinmachi,Keikyu,no,yes,,28.8,0.7
Higashi Kanagawa,Keikyu,no,yes,,29.5,0.7
Kanagawa,Keikyu,yes,yes,,30.7,1.2
Tokaido 03,,,,,31.0,0.3
Yokohama,JR,yes,yes,,31.5,0.5
Tennocho,Sotetsu,no,yes,East 3,33.9,2.4
Hodogaya,JR,no,yes,,34.7,0.8
Tokaido 04,,,,,35.2,0.5
Higashi Totsuka,JR,no,yes,,39.2,4.0
Totsuka,JR,yes,yes,,44.0,4.8
Tokaido 05,,,,,44.6,0.6
Tokaido 06,,,,,52.1,7.5
